time,Xa,Ya,Za,,,,,,
16.51764706,-1.04,0.13,0,,,0,-1,351,0.04705882353
16.56470588,-1.07,0.2,0,,,0,-1,352,0.04705882353
16.61176471,-1.16,0.22,0.01,,,-0.01,-1,353,0.04705882353
16.65882353,-1.03,0.2,0,,,0,-1,354,0.04705882353
16.70588235,-1.05,0.27,0.03,,,-0.03,-1,355,0.04705882353
16.75294118,-0.94,0.15,0.03,,,-0.03,-1,356,0.04705882353
16.8,-1.02,0.16,0.02,,,-0.02,-1,357,0.04705882353
16.84705882,-1.13,0.18,0.01,,,-0.01,-1,358,0.04705882353
16.89411765,-1,0.09,0.02,,,-0.02,-1,359,0.04705882353
16.94117647,-1.22,0.14,-0.01,,,0.01,-1,360,0.04705882353
16.98823529,-1.01,0.08,-0.02,,,0.02,-1,361,0.04705882353
17.03529412,-1.18,0.15,-0.02,,,0.02,-1,362,0.04705882353
17.08235294,-1.13,0.15,-0.02,,,0.02,-1,363,0.04705882353
17.12941176,-1.07,0.27,0.02,,,-0.02,-1,364,0.04705882353
17.17647059,-0.98,0.33,0.04,,,-0.04,-1,365,0.04705882353
17.22352941,-0.9,0.26,0.04,,,-0.04,-1,366,0.04705882353
17.27058824,-0.88,0.2,0.04,,,-0.04,-1,367,0.04705882353
17.31764706,-0.84,0.15,0.02,,,-0.02,-1,368,0.04705882353
17.36470588,-1.05,0.17,0.04,,,-0.04,-1,369,0.04705882353
17.41176471,-1.1,0.14,0.01,,,-0.01,-1,370,0.04705882353
17.45882353,-1.11,0.04,-0.02,,,0.02,-1,371,0.04705882353
17.50588235,-1.2,0.12,-0.02,,,0.02,-1,372,0.04705882353
17.55294118,-1.16,0.23,0,,,0,-1,373,0.04705882353
17.6,-1.13,0.26,0.04,,,-0.04,-1,374,0.04705882353
17.64705882,-1.08,0.25,0.01,,,-0.01,-1,375,0.04705882353
17.69411765,-0.92,0.23,0.02,,,-0.02,-1,376,0.04705882353
17.74117647,-0.93,0.23,0.04,,,-0.04,-1,377,0.04705882353
17.78823529,-0.91,0.22,0.03,,,-0.03,-1,378,0.04705882353
