time,Xa,Ya,Za,,,,,,,,
9.724770642,-0.88,0.14,0.01,,,,,-1,-0.01,265,0.03669724771
9.76146789,-1.11,0.2,-0.02,,,,,-1,0.02,266,0.03669724771
9.798165138,-0.93,0.15,0.04,,,,,-1,-0.04,267,0.03669724771
9.834862385,-1.04,0.21,-0.01,,,,,-1,0.01,268,0.03669724771
9.871559633,-1.06,0.16,0.01,,,,,-1,-0.01,269,0.03669724771
9.908256881,-1.12,0.25,0.01,,,,,-1,-0.01,270,0.03669724771
9.944954128,-0.93,0.19,0.02,,,,,-1,-0.02,271,0.03669724771
9.981651376,-1.04,0.15,0,,,,,-1,0,272,0.03669724771
10.01834862,-0.96,0.22,0.02,,,,,-1,-0.02,273,0.03669724771
10.05504587,-1.08,0.2,0.02,,,,,-1,-0.02,274,0.03669724771
10.09174312,-1.15,0.15,0,,,,,-1,0,275,0.03669724771
10.12844037,-1.06,0.25,0.03,,,,,-1,-0.03,276,0.03669724771
10.16513761,-0.98,0.11,0.02,,,,,-1,-0.02,277,0.03669724771
10.20183486,-1.2,0.19,-0.03,,,,,-1,0.03,278,0.03669724771
10.23853211,-1.03,0.19,0.02,,,,,-1,-0.02,279,0.03669724771
10.27522936,-1.15,0.26,0.03,,,,,-1,-0.03,280,0.03669724771
10.31192661,-0.99,0.14,0.02,,,,,-1,-0.02,281,0.03669724771
10.34862385,-1.14,0.26,0,,,,,-1,0,282,0.03669724771
10.3853211,-1.01,0.18,-0.01,,,,,-1,0.01,283,0.03669724771
10.42201835,-1.16,0.25,0,,,,,-1,0,284,0.03669724771
10.4587156,-1,0.2,0.03,,,,,-1,-0.03,285,0.03669724771
10.49541284,-1.09,0.21,0.01,,,,,-1,-0.01,286,0.03669724771
10.53211009,-0.97,0.17,0,,,,,-1,0,287,0.03669724771
10.56880734,-0.92,0.12,0,,,,,-1,0,288,0.03669724771
10.60550459,-1.15,0.16,-0.01,,,,,-1,0.01,289,0.03669724771
10.64220183,-1.09,0.18,0,,,,,-1,0,290,0.03669724771
10.67889908,-1,0.2,0.02,,,,,-1,-0.02,291,0.03669724771
10.71559633,-1.06,0.18,0.02,,,,,-1,-0.02,292,0.03669724771
10.75229358,-1.09,0.21,0.01,,,,,-1,-0.01,293,0.03669724771
10.78899083,-0.97,0.16,0.02,,,,,-1,-0.02,294,0.03669724771
10.82568807,-1.01,0.19,-0.02,,,,,-1,0.02,295,0.03669724771
