Time,Xa,Ya,Za,,,,,,,,,,,
8.637236084,-0.06,-1.25,-0.06,,,,,,,,,,0.038387716,225
8.6756238,-0.08,-1.16,-0.07,,,,,,,,,,0.038387716,226
8.714011516,-0.16,-0.89,-0.26,,,,,,,,,,0.038387716,227
8.752399232,-0.11,-0.84,-0.23,,,,,,,,,,0.038387716,228
8.790786948,-0.1,-0.96,-0.23,,,,,,,,,,0.038387716,229
8.829174664,-0.12,-0.95,-0.13,,,,,,,,,,0.038387716,230
8.86756238,-0.07,-1.23,-0.15,,,,,,,,,,0.038387716,231
8.905950096,-0.14,-0.9,-0.2,,,,,,,,,,0.038387716,232
8.944337812,-0.15,-0.82,-0.18,,,,,,,,,,0.038387716,233
8.982725528,-0.09,-0.96,-0.18,,,,,,,,,,0.038387716,234
9.021113244,-0.01,-0.94,-0.24,,,,,,,,,,0.038387716,235
9.05950096,-0.12,-1.05,-0.2,,,,,,,,,,0.038387716,236
9.097888676,-0.08,-1.01,-0.15,,,,,,,,,,0.038387716,237
9.136276392,-0.12,-1,-0.2,,,,,,,,,,0.038387716,238
9.174664107,-0.1,-1.2,-0.17,,,,,,,,,,0.038387716,239
9.213051823,-0.1,-1.07,-0.13,,,,,,,,,,0.038387716,240
9.251439539,-0.06,-1.08,-0.12,,,,,,,,,,0.038387716,241
9.289827255,-0.13,-0.96,-0.18,,,,,,,,,,0.038387716,242
9.328214971,-0.1,-1.02,-0.14,,,,,,,,,,0.038387716,243
9.366602687,-0.14,-1.05,-0.13,,,,,,,,,,0.038387716,244
9.404990403,-0.12,-0.94,-0.16,,,,,,,,,,0.038387716,245
9.443378119,-0.1,-0.91,-0.18,,,,,,,,,,0.038387716,246
9.481765835,-0.11,-1.07,-0.18,,,,,,,,,,0.038387716,247
9.520153551,-0.13,-0.96,-0.25,,,,,,,,,,0.038387716,248
9.558541267,-0.13,-1.1,-0.21,,,,,,,,,,0.038387716,249
9.596928983,-0.11,-0.85,-0.21,,,,,,,,,,0.038387716,250
9.635316699,-0.09,-1.2,-0.11,,,,,,,,,,0.038387716,251
9.673704415,-0.14,-1.17,-0.15,,,,,,,,,,0.038387716,252
9.712092131,-0.15,-0.98,-0.28,,,,,,,,,,0.038387716,253
9.750479846,-0.07,-0.96,-0.14,,,,,,,,,,0.038387716,254
9.788867562,-0.04,-1.15,-0.18,,,,,,,,,,0.038387716,255
9.827255278,-0.05,-1.04,-0.21,,,,,,,,,,0.038387716,256
9.865642994,-0.12,-1,-0.2,,,,,,,,,,0.038387716,257
9.90403071,-0.13,-1.1,-0.15,,,,,,,,,,0.038387716,258
9.942418426,-0.18,-0.99,-0.09,,,,,,,,,,0.038387716,259
9.980806142,-0.07,-1.02,-0.17,,,,,,,,,,0.038387716,260
10.01919386,-0.11,-0.84,-0.22,,,,,,,,,,0.038387716,261
10.05758157,-0.18,-0.96,-0.18,,,,,,,,,,0.038387716,262
10.09596929,-0.1,-1.25,-0.11,,,,,,,,,,0.038387716,263
10.13435701,-0.11,-1.02,-0.22,,,,,,,,,,0.038387716,264
10.17274472,-0.06,-0.9,-0.21,,,,,,,,,,0.038387716,265
10.21113244,-0.13,-1.08,-0.19,,,,,,,,,,0.038387716,266
10.24952015,-0.13,-0.98,-0.2,,,,,,,,,,0.038387716,267
10.28790787,-0.06,-1.04,-0.23,,,,,,,,,,0.038387716,268
10.32629559,-0.13,-1.07,-0.14,,,,,,,,,,0.038387716,269
10.3646833,-0.05,-0.84,-0.21,,,,,,,,,,0.038387716,270
10.40307102,-0.07,-0.98,-0.19,,,,,,,,,,0.038387716,271
10.44145873,-0.14,-0.96,-0.24,,,,,,,,,,0.038387716,272
10.47984645,-0.18,-1.14,-0.15,,,,,,,,,,0.038387716,273
10.51823417,-0.11,-1.09,-0.14,,,,,,,,,,0.038387716,274
10.55662188,-0.15,-1.04,-0.2,,,,,,,,,,0.038387716,275
10.5950096,-0.07,-1.03,-0.13,,,,,,,,,,0.038387716,276
10.63339731,-0.16,-0.93,-0.18,,,,,,,,,,0.038387716,277
10.67178503,-0.09,-0.95,-0.23,,,,,,,,,,0.038387716,278
