,time,Xa,Ya,Za,,,,,,,
,9.813432836,-0.94,0.36,0.08,,,,-1,-0.08,263,0.03731343284
,9.850746269,-1.08,0.32,0.04,,,,-1,-0.04,264,0.03731343284
,9.888059701,-0.99,0.32,0.05,,,,-1,-0.05,265,0.03731343284
,9.925373134,-0.98,0.27,0.04,,,,-1,-0.04,266,0.03731343284
,9.962686567,-1.1,0.27,0.03,,,,-1,-0.03,267,0.03731343284
,10,-1.07,0.37,0.05,,,,-1,-0.05,268,0.03731343284
,10.03731343,-1.14,0.29,0.02,,,,-1,-0.02,269,0.03731343284
,10.07462687,-1.11,0.33,0.04,,,,-1,-0.04,270,0.03731343284
,10.1119403,-1,0.37,0.07,,,,-1,-0.07,271,0.03731343284
,10.14925373,-0.95,0.33,0.06,,,,-1,-0.06,272,0.03731343284
,10.18656716,-0.97,0.34,0.07,,,,-1,-0.07,273,0.03731343284
,10.2238806,-0.98,0.34,0.06,,,,-1,-0.06,274,0.03731343284
,10.26119403,-1.02,0.29,0.04,,,,-1,-0.04,275,0.03731343284
,10.29850746,-1.03,0.36,0.07,,,,-1,-0.07,276,0.03731343284
,10.3358209,-1.07,0.34,0.06,,,,-1,-0.06,277,0.03731343284
,10.37313433,-0.98,0.3,0.04,,,,-1,-0.04,278,0.03731343284
,10.41044776,-1.08,0.3,0.03,,,,-1,-0.03,279,0.03731343284
,10.44776119,-0.91,0.3,0.06,,,,-1,-0.06,280,0.03731343284
,10.48507463,-1,0.36,0.06,,,,-1,-0.06,281,0.03731343284
,10.52238806,-1.04,0.24,0.02,,,,-1,-0.02,282,0.03731343284
,10.55970149,-0.95,0.3,0.05,,,,-1,-0.05,283,0.03731343284
,10.59701493,-0.98,0.39,0.08,,,,-1,-0.08,284,0.03731343284
,10.63432836,-1.04,0.27,0.02,,,,-1,-0.02,285,0.03731343284
,10.67164179,-1.01,0.37,0.08,,,,-1,-0.08,286,0.03731343284
,10.70895522,-1.02,0.4,0.07,,,,-1,-0.07,287,0.03731343284
,10.74626866,-1,0.21,0.01,,,,-1,-0.01,288,0.03731343284
,10.78358209,-0.95,0.38,0.09,,,,-1,-0.09,289,0.03731343284
,10.82089552,-0.9,0.29,0.07,,,,-1,-0.07,290,0.03731343284
,10.85820896,-1.02,0.33,0.05,,,,-1,-0.05,291,0.03731343284
,10.89552239,-0.9,0.36,0.08,,,,-1,-0.08,292,0.03731343284
,10.93283582,-0.99,0.3,0.05,,,,-1,-0.05,293,0.03731343284
,10.97014925,-0.99,0.34,0.07,,,,-1,-0.07,294,0.03731343284
,11.00746269,-0.99,0.31,0.05,,,,-1,-0.05,295,0.03731343284
,11.04477612,-1.08,0.31,0.04,,,,-1,-0.04,296,0.03731343284
,11.08208955,-1.09,0.28,0.02,,,,-1,-0.02,297,0.03731343284
,11.11940299,-0.99,0.33,0.05,,,,-1,-0.05,298,0.03731343284
,11.15671642,-1.05,0.29,0.04,,,,-1,-0.04,299,0.03731343284
,11.19402985,-1.05,0.34,0.05,,,,-1,-0.05,300,0.03731343284
,11.23134328,-1.02,0.34,0.06,,,,-1,-0.06,301,0.03731343284
,11.26865672,-1.07,0.33,0.04,,,,-1,-0.04,302,0.03731343284
,11.30597015,-1.01,0.31,0.05,,,,-1,-0.05,303,0.03731343284
,11.34328358,-1.04,0.32,0.05,,,,-1,-0.05,304,0.03731343284
,11.38059701,-1.07,0.35,0.05,,,,-1,-0.05,305,0.03731343284
,11.41791045,-0.92,0.4,0.09,,,,-1,-0.09,306,0.03731343284
,11.45522388,-0.93,0.29,0.05,,,,-1,-0.05,307,0.03731343284
,11.49253731,-1.08,0.29,0.04,,,,-1,-0.04,308,0.03731343284
,11.52985075,-1.04,0.37,0.06,,,,-1,-0.06,309,0.03731343284
,11.56716418,-1.03,0.31,0.04,,,,-1,-0.04,310,0.03731343284
,11.60447761,-1.05,0.36,0.07,,,,-1,-0.07,311,0.03731343284
,11.64179104,-0.95,0.38,0.08,,,,-1,-0.08,312,0.03731343284
,11.67910448,-1.05,0.23,0,,,,-1,0,313,0.03731343284
,11.71641791,-0.95,0.39,0.07,,,,-1,-0.07,314,0.03731343284
,11.75373134,-1.12,0.26,0.01,,,,-1,-0.01,315,0.03731343284
,11.79104478,-0.99,0.27,0.04,,,,-1,-0.04,316,0.03731343284
,11.82835821,-1,0.36,0.05,,,,-1,-0.05,317,0.03731343284
,11.86567164,-1.02,0.32,0.05,,,,-1,-0.05,318,0.03731343284
,11.90298507,-1.02,0.35,0.05,,,,-1,-0.05,319,0.03731343284
,11.94029851,-1.13,0.36,0.05,,,,-1,-0.05,320,0.03731343284
,11.97761194,-1.05,0.28,0.04,,,,-1,-0.04,321,0.03731343284
,12.01492537,-0.98,0.4,0.08,,,,-1,-0.08,322,0.03731343284
,12.05223881,-1.07,0.27,0.03,,,,-1,-0.03,323,0.03731343284
,12.08955224,-1.02,0.3,0.05,,,,-1,-0.05,324,0.03731343284
,12.12686567,-1.05,0.37,0.07,,,,-1,-0.07,325,0.03731343284
,12.1641791,-1,0.31,0.05,,,,-1,-0.05,326,0.03731343284
,12.20149254,-0.94,0.25,0.04,,,,-1,-0.04,327,0.03731343284
,12.23880597,-0.98,0.32,0.05,,,,-1,-0.05,328,0.03731343284
,12.2761194,-1.01,0.28,0.02,,,,-1,-0.02,329,0.03731343284
,12.31343284,-0.89,0.4,0.09,,,,-1,-0.09,330,0.03731343284
,12.35074627,-1.01,0.29,0.04,,,,-1,-0.04,331,0.03731343284
